Alcohol,OD280/OD315
14.23,3.92
13.2,3.4
13.16,3.17
14.37,3.45
13.24,2.93
14.2,2.85
14.39,3.58
14.06,3.58
14.83,2.85
13.86,3.55
14.1,3.17
14.12,2.82
13.75,2.9
14.75,2.73
14.38,3
13.63,2.88
14.3,2.65
13.83,2.57
14.19,2.82
13.64,3.36
14.06,3.71
12.93,3.52
13.71,4
12.85,3.63
13.5,3.82
13.05,3.2
13.39,3.22
13.3,2.77
13.87,3.4
14.02,3.59
13.73,2.71
13.58,2.88
13.68,2.87
13.76,3
13.51,2.87
13.48,3.47
13.28,2.78
13.05,2.51
13.07,2.69
14.22,3.53
13.56,3.38
13.41,3
13.88,3.56
13.24,3
13.05,3.35
14.21,3.33
14.38,3.44
13.9,3.33
14.1,2.75
13.94,3.1
13.05,2.91
13.83,3.37
13.82,3.26
13.77,2.93
13.74,3.2
13.56,3.03
14.22,3.31
13.29,2.84
13.72,2.87
12.37,1.82
12.33,1.67
12.64,1.59
13.67,2.46
12.37,2.87
12.17,2.23
12.37,2.3
13.11,3.18
12.37,3.48
13.34,1.93
12.21,3.07
12.29,1.82
13.86,3.16
13.49,2.78
12.99,3.5
11.96,3.13
11.66,2.14
13.03,2.48
11.84,2.52
12.33,2.31
12.7,3.13
12,3.12
12.72,3.14
12.08,2.72
13.05,2.01
11.84,3.08
12.67,3.16
12.16,2.26
11.65,3.21
11.64,2.75
12.08,3.21
12.08,2.27
12,2.65
12.69,2.06
12.29,3.3
11.62,2.96
12.47,2.63
11.81,2.26
12.29,2.74
12.37,2.77
12.29,2.83
12.08,2.96
12.6,2.77
12.34,3.38
11.82,2.44
12.51,3.57
12.42,3.3
12.25,3.17
12.72,2.42
12.22,3.02
11.61,3.26
11.46,2.81
12.52,2.78
11.76,2.5
11.41,2.31
12.08,3.19
11.03,2.87
11.82,3.33
12.42,2.96
12.77,2.12
12,3.05
11.45,3.39
11.56,3.69
12.42,3.12
13.05,3.1
11.87,3.64
12.07,3.28
12.43,2.84
11.79,2.44
12.37,2.78
12.04,2.57
12.86,1.29
12.88,1.42
12.81,1.36
12.7,1.29
12.51,1.51
12.6,1.58
12.25,1.27
12.53,1.69
13.49,1.82
12.84,2.15
12.93,2.31
13.36,2.47
13.52,2.06
13.62,2.05
12.25,2
13.16,1.68
13.88,1.33
12.87,1.86
13.32,1.62
13.08,1.33
13.5,1.3
12.79,1.47
13.11,1.33
13.23,1.51
12.58,1.55
13.17,1.48
13.84,1.64
12.45,1.73
14.34,1.96
13.48,1.78
12.36,1.58
13.69,1.82
12.85,2.11
12.96,1.75
13.78,1.68
13.73,1.75
13.45,1.56
12.82,1.75
13.58,1.8
13.4,1.92
12.2,1.83
12.77,1.63
14.16,1.71
13.71,1.74
13.4,1.56
13.27,1.56
13.17,1.62
14.13,1.6
